aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation,partial_agonist_desc,partial_agonist_aidname,agonist_desc,agonist_aidname,antagonist_desc,antagonist_aidname
31732,Confirmatory,Inhibitory activity against AMPA receptor using [3H]AMPA as radioligand,"Title: (3SR,4aRS,6RS,8aRS)-6-[2-(1H-tetrazol-5-yl)ethyl]decahydroisoquinoline-3 - carboxylic acid: a structurally novel, systemically active, competitive AMPA receptor antagonist.",43,ChEMBL,CHEMBL644193,20181013,127894|44304811,103177343|103254969,2890|2891|2892|2893,,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,8393116,0,,P42261|P42262|P42263|P48058,,,,,0,0,1,0,1,0
75670,Confirmatory,Inhibition of the (-80 mV) current elicited by 100 uM glutamate by simultaneous co-application in xenopus oocytes injected with GluR1 flop RNA.,"Title: Solid-phase synthesis of polyamine toxin analogues: potent and selective antagonists of Ca2+-permeable AMPA receptors._||_Abstract: The wasp toxin philanthotoxin-433 (PhTX-433) is a nonselective and noncompetitive antagonist of ionotropic receptors, such as ionotropic glutamate receptors and nicotinic acetylcholine receptors. Polyamine toxins are extensively used for the characterization of subtypes of ionotropic glutamate receptors, in particular Ca(2+)-permeable AMPA and kainate receptors. We have previously shown that an analogue of PhTX-433 with one of the amino groups replaced by a methylene group, philanthotoxin-83 (PhTX-83) is a selective and potent antagonist of AMPA receptors. We now describe the solid-phase synthesis of analogues of PhTX-83 and the electrophysiological characterization of these analogues on cloned AMPA and kainate receptors. The polyamine portion of PhTX-83 was modified systematically by changing the position of the secondary amino group along the polyamine chain. In another series of analogues, the acyl moiety of PhTX-83 was replaced by acids of different size and lipophilicity. Using electrophysiological techniques, PhTX-56 was shown to be a highly potent (K(i) = 3.3 +/- 0.78 nM) and voltage-dependent antagonist of homomeric GluR1 receptors and was more than 1000-fold less potent when tested on heteromeric GluR1+GluR2, as well as homomeric GluR5(Q) receptors, thus being selective for Ca(2+)-permeable AMPA receptors. Variation of the acyl group of PhTX-83 had only minor effect on antagonist potency at homomeric GluR1 receptors but led to a significant decrease in the voltage-dependence. In conclusion, PhTX-56 is a novel, very potent, and selective antagonist of Ca(2+)-permeable AMPA receptors and is a promising tool for structure/function studies of the ion channel of the AMPA receptor.",43,ChEMBL,CHEMBL680870,20181017,10598970|14608128|44368884|44368885|44368886|44368895|44368910|44369047|44369048|44369061|44369062|44369077|44369235|44369248|44369251|44369283|44369293|44369295|44369306|44369308,103242301|103395119|103401345|103401346|103401347|103401358|103401386|103401656|103401657|103401689|103401691|103401729|103402004|103402031|103402035|103402084|103402111|103402115|103402135|103402137,2890,,P42261,Curation Efforts|Research and Development,12477358,0,,P42261,,129148.0,,,0,0,1,0,1,0
92044,Confirmatory,Inhibition of Ionotropic glutamate receptor AMPA binding to human hippocampal homogenates,"Title: 6-(4-pyridinyl)-1H-1,2,3-triazolo[4,5-d]-pyrimidin-4(5H)-one: a structurally novel competitive AMPA receptor antagonist.",43,ChEMBL,CHEMBL699726,20181015,135407136|135453826,103402848|103402881,2890|2891|2892|2893,,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,7532226,0,,P42261|P42262|P42263|P48058,,,,,0,0,1,0,1,0
92046,Literature-derived,Inhibition of Ionotropic glutamate receptor AMPA binding to human hippocampal homogenates at concentration of 5-7 uM,"Title: 6-(4-pyridinyl)-1H-1,2,3-triazolo[4,5-d]-pyrimidin-4(5H)-one: a structurally novel competitive AMPA receptor antagonist.",43,ChEMBL,CHEMBL699886,20181015,10013401|10262625|135400945|135456970|135474269,103402800|103402827|103402880|103402892|103403227,2890|2891|2892|2893,,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,7532226,0,,P42261|P42262|P42263|P48058,,,,,0,0,1,0,1,0
92802,Confirmatory,Compound has been evaluated for its binding affinity towards Ionotropic glutamate receptor AMPA by displacing the radioligand [3H]AMPA,"Title: Synthesis, radiolabelling and biological characterization of (D)-7-iodo-N-(1-phosphonoethyl)-5-aminomethylquinoxaline-2,3-dione, a glycine-binding site antagonist of NMDA receptors._||_Abstract: (D)-7-Iodo-N-(1-phosphonoethyl)-5-aminomethylquinoxaline-2,3 -dione (I-PAMQX), is a potent, in vivo active antagonist acting at the glycine binding site of the NMDA receptor complex. Radioiodinated [131I]I-PAMQX was prepared with good yields and high specific activity from its 7-bromo analogue. Biodistribution studies of [131I]I-PAMQX in mice showed a relatively slow clearance from the blood. The uptake of radioactivity was highest in the kidneys, moderate in the heart, lung, liver and bones, and low in the brain.",43,ChEMBL,CHEMBL702517,20180909,6604872|10048025,103290029|103419432,2890|2891|2892|2893,,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,10636248,0,,P42261|P42262|P42263|P48058,,,,,0,0,1,0,1,0
92930,Confirmatory,Inhibition of the binding of radioligand [3H]AMPA in the presence at low-affinity AMPA receptor sites.,"Title: Novel class of amino acid antagonists at non-N-methyl-D-aspartic acid excitatory amino acid receptors. Synthesis, in vitro and in vivo pharmacology, and neuroprotection._||_Abstract: The isoxazole amino acid 2-amino-3-(3-hydroxy-5-methylisoxazol-4-yl) propionic acid (AMPA) (1), which is a highly selective agonist at the AMPA subtype of excitatory amino acid (EAA) receptors, has been used as a lead for the development of two novel EAA receptor antagonists. One of the compounds, 2-amino-3-[3-(carboxymethoxy)-5-methylisoxazol-4-yl]propionic acid (AMOA, 7), was synthesized via O-alkylation by ethyl chloroacetate of the amino acid protected AMPA derivative 4. The other compound, 2-amino-3-[2-(3-hydroxy-5-methylisoxazol-4-yl)-methyl-5-methyl-3-+ ++oxoisoxazolin -4-yl]propionic acid (AMNH, 14) was synthesized with use of 4-(chloromethyl)-3-methoxy-5-methylisoxazole (8) as the starting material. The intermediate 4-(chloromethyl)-2-(3-methoxy-5-methylisoxazol-4-yl)methyl-5-me thylisoxazolin- 3-one (11) was converted into the acetamidomalonate (12), which was stepwise deprotected to give 14. Compounds 7 and 14 were stable in aqueous solution at pH values close to physiological pH. Neither 7 nor 14 showed detectable affinities for the receptor, ion channel, or modulatory sites of the N-methyl-D-aspartic acid (NMDA) receptor complex. Quantitative receptor autoradiographic and conventional binding techniques were used to study the affinities of 7 and 14 for non-NMDA receptor sites. Both compounds were inhibitors of the binding of [3H]AMPA (IC50 = 90 and 29 microM, respectively). Compounds 14 and 7 were both very weak inhibitors of the high-affinity binding of radioactive kainic acid [( 3H]KAIN). Compound 14, but not 7, was, however, shown to be an inhibitor of low-affinity [3H]KAIN binding (IC50 = 40 microM) as determined in the presence of 100 mM calcium chloride. In the rat cortical slice preparation, 7 was shown to antagonize excitation induced by 1 with some selectivity, whereas 14 proved to be a rather selective antagonist of KAIN-induced excitation. Both antagonists showed very weak effects on the excitatory effects of NMDA. Compound 7 was a poor antagonist of excitation by quisqualic acid (2), whereas 14 did not affect excitation by this nonselective AMPA receptor agonist. On cat spinal neurones, both 7 and 14 reduced excitations by 1 and KAIN, but, again, the excitatory effects of 2 were much less sensitive. Compound 14 and, in particular, 7 effectively protected rat striatal neurones against the neurotoxic effects of KAIN, whereas the toxic effects of 1 were reduced only by 7. Neither antagonist showed protection against the cell damage caused by intrastriatal injection of the NMDA agonist quinolinic acid.(ABSTRACT TRUNCATED AT 400 WORDS)",43,ChEMBL,CHEMBL700573,20181013,1221|125406|125407,103174429|103223955|103759912,2890|2891|2892|2893,,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,1825114,0,,P42261|P42262|P42263|P48058,,,,,0,0,1,0,1,0
92932,Confirmatory,Inhibitory activity against Ionotropic glutamate receptor AMPA activation,"Title: Synthesis and potent anticonvulsant activities of 4-oxo-imidazo[1,2-a]inden._||_Abstract: The over-stimulation of excitatory amino acid receptors such as the glutamate AMPA receptor has been suggested to be associated with neurodegenerative disorders. Here we describe an original series of readily water soluble 4-oxo-imidazo[1,2-a] indeno[1,2-e]pyrazin-8- and -9-carboxylic (acetic) acid derivatives. One of these compounds, 4f, exhibited nanomolar binding affinity, potent competitive antagonism at the ionotropic AMPA receptor and a long duration of anticonvulsant activity after administration by parenteral route in vivo.",43,ChEMBL,CHEMBL700575,20180929,10358936,103195018,2890|2891|2892|2893,,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,11133083,0,,P42261|P42262|P42263|P48058,,,,,0,0,1,0,1,0
92934,Literature-derived,Percentage binding at high-affinity AMPA receptor sites.,"Title: Novel class of amino acid antagonists at non-N-methyl-D-aspartic acid excitatory amino acid receptors. Synthesis, in vitro and in vivo pharmacology, and neuroprotection._||_Abstract: The isoxazole amino acid 2-amino-3-(3-hydroxy-5-methylisoxazol-4-yl) propionic acid (AMPA) (1), which is a highly selective agonist at the AMPA subtype of excitatory amino acid (EAA) receptors, has been used as a lead for the development of two novel EAA receptor antagonists. One of the compounds, 2-amino-3-[3-(carboxymethoxy)-5-methylisoxazol-4-yl]propionic acid (AMOA, 7), was synthesized via O-alkylation by ethyl chloroacetate of the amino acid protected AMPA derivative 4. The other compound, 2-amino-3-[2-(3-hydroxy-5-methylisoxazol-4-yl)-methyl-5-methyl-3-+ ++oxoisoxazolin -4-yl]propionic acid (AMNH, 14) was synthesized with use of 4-(chloromethyl)-3-methoxy-5-methylisoxazole (8) as the starting material. The intermediate 4-(chloromethyl)-2-(3-methoxy-5-methylisoxazol-4-yl)methyl-5-me thylisoxazolin- 3-one (11) was converted into the acetamidomalonate (12), which was stepwise deprotected to give 14. Compounds 7 and 14 were stable in aqueous solution at pH values close to physiological pH. Neither 7 nor 14 showed detectable affinities for the receptor, ion channel, or modulatory sites of the N-methyl-D-aspartic acid (NMDA) receptor complex. Quantitative receptor autoradiographic and conventional binding techniques were used to study the affinities of 7 and 14 for non-NMDA receptor sites. Both compounds were inhibitors of the binding of [3H]AMPA (IC50 = 90 and 29 microM, respectively). Compounds 14 and 7 were both very weak inhibitors of the high-affinity binding of radioactive kainic acid [( 3H]KAIN). Compound 14, but not 7, was, however, shown to be an inhibitor of low-affinity [3H]KAIN binding (IC50 = 40 microM) as determined in the presence of 100 mM calcium chloride. In the rat cortical slice preparation, 7 was shown to antagonize excitation induced by 1 with some selectivity, whereas 14 proved to be a rather selective antagonist of KAIN-induced excitation. Both antagonists showed very weak effects on the excitatory effects of NMDA. Compound 7 was a poor antagonist of excitation by quisqualic acid (2), whereas 14 did not affect excitation by this nonselective AMPA receptor agonist. On cat spinal neurones, both 7 and 14 reduced excitations by 1 and KAIN, but, again, the excitatory effects of 2 were much less sensitive. Compound 14 and, in particular, 7 effectively protected rat striatal neurones against the neurotoxic effects of KAIN, whereas the toxic effects of 1 were reduced only by 7. Neither antagonist showed protection against the cell damage caused by intrastriatal injection of the NMDA agonist quinolinic acid.(ABSTRACT TRUNCATED AT 400 WORDS)",43,ChEMBL,CHEMBL700577,20181013,1221|125406|125407,103174429|103223955|103759912,2890|2891|2892|2893,,P42261|P42262|P42263|P48058,Curation Efforts|Research and Development,1825114,0,,P42261|P42262|P42263|P48058,,,,,0,0,1,0,1,0
92948,Confirmatory,"Electrophysiological data on Xenopus oocytes, expressing homomeric Ionotropic glutamate receptor AMPA 1 (GluR1o)","Title: (S)-2-Amino-3-(3-hydroxy-7,8-dihydro-6H-cyclohepta[d]isoxazol-4-yl)propionic acid, a potent and selective agonist at the GluR5 subtype of ionotropic glutamate receptors. Synthesis, modeling, and molecular pharmacology._||_Abstract: We have previously described (RS)-2-amino-3-(3-hydroxy-7,8-dihydro-6H-cyclohepta[d]isoxazol-4-yl)propionic acid (4-AHCP) as a highly effective agonist at non-N-methyl-d-aspartate (non-NMDA) glutamate (Glu) receptors in vivo, which is more potent than (RS)-2-amino-3-(3-hydroxy-5-methylisoxazol-4-yl)propionic acid (AMPA) but inactive at NMDA receptors. However, 4-AHCP was found to be much weaker than AMPA as an inhibitor of [(3)H]AMPA binding and to have limited effect in a [(3)H]kainic acid binding assay using rat cortical membranes. To shed light on the mechanism(s) underlying this quite enigmatic pharmacological profile of 4-AHCP, we have now developed a synthesis of (S)-4-AHCP (6) and (R)-4-AHCP (7). At cloned metabotropic Glu receptors mGluR1alpha (group I), mGluR2 (group II), and mGluR4a (group III), neither 6 nor 7 showed significant agonist or antagonist effects. The stereoisomer 6, but not 7, activated cloned AMPA receptor subunits GluR1o, GluR3o, and GluR4o with EC(50) values in the range 4.5-15 microM and the coexpressed kainate-preferring subunits GluR6 + KA2 (EC(50) = 6.4 microM). Compound 6, but not 7, proved to be a very potent agonist (EC(50) = 0.13 microM) at the kainate-preferring GluR5 subunit, equipotent with (S)-2-amino-3-(5-tert-butyl-3-hydroxyisothiazol-4-yl)propionic acid [(S)-Thio-ATPA, 4] and almost 4 times more potent than (S)-2-amino-3-(5-tert-butyl-3-hydroxyisoxazol-4-yl)propionic acid [(S)-ATPA, 3]. Compound 6 thus represents a new structural class of GluR5 agonists. Molecular modeling and docking to a crystal structure of the extracellular binding domain of the AMPA subunit GluR2 has enabled identification of the probable active conformation and binding mode of 6. We are able to rationalize the observed selectivities by comparing the docking of 4 and 6 to subtype constructs, i.e., a crystal structure of the extracellular binding domain of GluR2 and a homology model of GluR5.",43,ChEMBL,CHEMBL884410,20181017,447407|5288598|5289518,103199065|103199750|103199751,2890,,P42261,Curation Efforts|Research and Development,12672235,0,,P42261,8355.0,129148.0,,,0,0,1,0,1,0
92950,Confirmatory,Ability to displace binding of [3H]AMPA to recombinant human Ionotropic glutamate receptor AMPA 1,"Title: Ethyl (3S,4aR,6S,8aR)-6-(4-ethoxycar- bonylimidazol-1-ylmethyl)decahydroiso-quinoline-3-carboxylic ester: a prodrug of a GluR5 kainate receptor antagonist active in two animal models of acute migraine._||_Abstract: Amino diacid 3, a highly selective competitive GluR5 kainate receptor antagonist, exhibited high GluR5 receptor affinity and selectivity over other glutamate receptors. Its diethyl ester prodrug 4 was orally active in two models of migraine: the neurogenic dural plasma protein extravasation model and the nucleus caudalis c-fos expression model. These data suggest that a GluR5 kainate receptor antagonist might be an efficacious antimigraine therapy with a novel mechanism of action.",43,ChEMBL,CHEMBL701239,20181017,127894|3272524|45262167,103177343|103509729|103673653,2890,,P42261,Curation Efforts|Research and Development,12238915,0,,P42261,,,,,0,0,1,0,1,0
