,aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation,partial_agonist_desc,partial_agonist_aidname,agonist_desc,agonist_aidname,antagonist_desc,antagonist_aidname
1,45419,Confirmatory,Displacement of [3H]spiperone from CHO-K1 cell membranes expressing human dopamine receptor D2,"Title: Evaluation of the effects of the enantiomers of reduced haloperidol, azaperol, and related 4-amino-1-arylbutanols on dopamine and sigma receptors._||_Abstract: The enantiomers of reduced haloperidol (3a), azaperol (3b), and the related compound BMY-14802 (3c) were prepared in high optical purity. The affinity of these compounds for dopamine D2 and D3 receptors, and sigma S1 and S2 sites was determined in vitro. Both enantiomers of 3a display greatly decreased affinity for D2 and D3 receptors compared to haloperidol, although they still possess affinities in the 100-200-nM range. Both enantiomers of 3a possess potent and equal affinity for S1 sites (Ki: 1-2 nM), only slightly weaker than haloperidol (Ki: 0.33 nM). At S2 sites, (R)-(+)-3a displays similar affinity to haloperidol (Ki: 31 and 26 nM, respectively), while (S)-(-)-3a is slight more potent (Ki: 8.2 nM). The stereoselectivity profile of the enantiomers of 3b at D2 and D3 receptors is quite similar to that of 3a, (S)-(-)-3b being about 4 times more potent than its enantiomer at both receptors. (R)-(+)-3b binds preferentially to sigma S1 over S2 sites, while (S)-(-)-3b displays the opposite selectivity profile. Both enantiomers of 3c possess very weak affinity for D2 and D3 receptors. In a manner similar to the enantiomers of 3b, the affinity of (R)-(+)-3c is greater for S1 than S2 sites, while (S)-(-)-3c displays the opposite selectivity profile. Following parenteral administration of both enantiomers of 3a, dopamine synthesis and turnover in rat striatum, cortex, and mesolimbic areas were increased, in a manner similar to the effects produced by haloperidol itself. Additional studies will be required to assess with certainty whether the effects were due to the compounds themselves or simply were a consequence of the in vivo oxidation to haloperidol.",43,ChEMBL,CHEMBL651364,20181014,3559|15443|6604868|10020651|16048564|24867245|44350942|44350991,103167216|103359590|103359652|103359654|103359671|103359710|103359798|103359799,1813,,P14416,Curation Efforts|Research and Development,7902870,0,,P14416,9606.0,198.0,,,0,0,0,0,0,0
2,49735,Literature-derived,Antagonism of apomorphine induced inhibition of the tachycardia produced by stimulation of the right cardioaccelerator nerve in cat.,"Title: Assessment of a potential dopaminergic prodrug moiety in several ring systems._||_Abstract: The ortho hydroxy/methyl, hydroxy/hydroxymethyl, hydroxy/formyl, and hydroxy/carboxy substitution patterns, some of which confer dopaminergic agonist effects upon 2-aminotetralin ring systems, have been incorporated into beta-phenethylamine, 2-aminoindan, and trans-octahydrobenzo[f]quinoline rings. Certain of the 2-aminoindan derivatives displayed pharmacologic properties consistent with their being dopaminergic agonists. The beta-phenethylamine derivative did not show any significant dopamine-like activity. The 7-hydroxy-8-methyloctahydrobenzo[f]quinoline derivative 4a was a moderately potent, short-acting DA2 receptor antagonist. All of the carboxylic acid derivatives were inert. Of the ortho hydroxy/methyl derivatives, only the 5-hydroxy-6-methyl-2-aminotetralin derivative displayed pharmacological properties consistent with its being a dopaminergic prodrug. It is concluded that 5-hydroxy-6-methyl-2-(di-n-propylamino)tetralin (1a) is structurally unique for a dopaminergic drug.",43,ChEMBL,CHEMBL661208,20200628,6005|145954|10083326|44303823|44303825|44303826|44303827|44303828|44303830|44303832|44303845|44303865|44303869|44303870|44303872|44304062,103167211|103252888|103252908|103252910|103252911|103252912|103252913|103252915|103252916|103252937|103252957|103252961|103252962|103252963|103252965|103253393,1812|1813|1814|1815|1816,,P14416|P21728|P21917|P21918|P35462,Curation Efforts|Research and Development,3761320,0,,P14416|P21728|P21917|P21918|P35462,9685.0,,,,0,0,1,1,1,1
5,55594,Confirmatory,Binding affinity for DA2 receptor,"Title: (R)-1,2,3,4-tetrahydro[1]benzothieno[2,3-c]pyridines: novel optically active compounds with strong 5-HT1A receptor binding ability exhibiting anticonflict activity and lessening of memory impairment._||_Abstract: (R)-1,2,3,4-Tetrahydro[1]benzothieno[2,3-c]pyridine derivatives (60-114) were synthesized. The (R)-isomers have affinity for the 5-HT1A receptor while the (S)-isomers have no such ability. The affinity of the (R)-isomers was discussed on the basis of structure-activity relationships between the affinity and hydrophobicity of the (R)-isomers. Compounds 71 and 107, which are representative derivative compounds, have anticonflict activity and lessening of memory impairment. In particular, compound 107 cannot bind to receptors other than the 5-HT1A receptor, demonstrating that it is a unique compound with a different mechanism of action from that of conventional anxiolytics.",43,ChEMBL,CHEMBL663159,20181014,2477|13422623,103166970|124967119,1813,,P14416,Curation Efforts|Research and Development,7902439,0,,P14416,,,,,0,0,0,0,0,0
6,56382,Literature-derived,In vivo antagonism activity against D2 receptor was measured as emesis in dog when administered subcutaneously; Not tested,"Title: Substituted benzamides. 1. Potential nondopaminergic antagonists of chemotherapy-induced nausea and emesis._||_Abstract: A series of new substituted benzamides has been synthesized and evaluated for dopamine antagonist activity and for antagonism of cisplatin-induced emesis in the dog and in the ferret. It was found that modification of the 2-methoxy substituent of metoclopramide was detrimental to dopaminergic D2 antagonism but not necessarily to antagonism of cisplatin-induced emesis. A number of analogues having a beta-keto, beta-hydroxy, beta-methoxy, beta-imino, or beta-unsaturated alkyloxy substituent instead of methoxy have shown equal or superior protection from emesis to that of metoclopramide. At the same time these compounds were found to be free of dopaminergic D2 antagonism in both in vitro ([3H]spiperone binding) and in vivo tests (rat catalepsy, antagonism of apomorphine-induced stereotypy in the rat, and apomorphine-induced emesis in the dog).",43,ChEMBL,CHEMBL666484,20181012,14116897,103217304,1813,In vivo,P14416,Curation Efforts|Research and Development,3397992,0,,P14416,9615.0,,,,0,0,1,1,1,1
25,61168,Confirmatory,Binding affinity towards dopamine D2 receptor using radiolabeled ligand [3H]spiperone,Binding affinity towards dopamine D2 receptor using radiolabeled ligand [3H]spiperone,43,ChEMBL,CHEMBL672709,20180908,45260677|45260679|45260698|45260705|45260706|45260715|45260725|45260726|45264511|45264632,103671628|103671633|103671679|103671695|103671696|103671715|103671739|103671740|103677372|103677544,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
26,61169,Confirmatory,Binding affinity towards dopamine D2 receptor using radiolabeled ligand [3H]spiperone,Binding affinity towards dopamine D2 receptor using radiolabeled ligand [3H]spiperone,43,ChEMBL,CHEMBL672710,20180908,44311180|45260670|45260676|45260701|45260702|45264551|45264556|45264558,103671617|103671627|103671687|103671688|103677438|103677444|103677446|163316226|163336953,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
34,61307,Confirmatory,Inhibitory concentration against binding of [3H]spiperone to human D2 dopaminergic receptor,Inhibitory concentration against binding of [3H]spiperone to human D2 dopaminergic receptor,43,ChEMBL,CHEMBL671650,20180909,10034684|71717830,103184812|164136077,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
35,61308,Confirmatory,Ability to displace radioligand [3H]N-0437 from human dopamine D2 receptor transfected chinese hamster ovary cell membranes.,Ability to displace radioligand [3H]N-0437 from human dopamine D2 receptor transfected chinese hamster ovary cell membranes.,43,ChEMBL,CHEMBL671651,20180908,6603867|9847363|9865584|10253970|10596978|15045455|44317000|44317001|44317002|44317003|44317030|44317031|44317054|44317069|44317088|44317105|44317222|44317229|44317252|44317260|44317272|44317275|44317294|44317295|44317384|44317385|44317425|44317436|44317450|44317467|44317468,103238604|103280611|103280612|103280613|103280614|103280680|103280681|103280739|103280766|103280798|103280842|103281114|103281116|103281146|103281211|103281242|103281273|103281281|103281311|103281313|103281345|103281347|103281348|103281378|103281382|103281610|103281611|103281639|103281640|103281743|103281773|103281824|103281829|103281860|103281862,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
36,61309,Confirmatory,Ability to displace [3H]spiperone from cloned human dopamine D2 receptor stably expressed in CHO cells,Title: Synthesis and sar of 2- and 3-substituted 7-azaindoles as potential dopamine D4 ligands._||_Abstract: 7-azaindole compounds bearing a cyclic amine moiety linked by a one or two carbon chain attached at the 2- or 3-position were synthesised and evaluated as potential dopamine D4 ligands. Highest affinity and selectivity for the D4 receptor resided in the 3-aminomethyl-7-azaindole series.,43,ChEMBL,CHEMBL671652,20180909,5311200|9905249|10245409|10335148|21462964|21462980|44370009|44370032|44370047|44370058|71458040,103165750|103201483|103403466|103403480|103403518|103403548|103403590|103403623|103403634|163326319|163329705,1813,,P14416,Curation Efforts|Research and Development,10098669,0,,P14416,9606.0,197.0,,,0,0,0,0,0,0
37,61310,Confirmatory,Binding affinity against cloned human D2 receptor transfected in CHO-K1 cells using [3H]- spiperone as radioligand.,Binding affinity against cloned human D2 receptor transfected in CHO-K1 cells using [3H]- spiperone as radioligand.,43,ChEMBL,CHEMBL671653,20180908,9840365|10474613|44278427|44278788|44278789,103201270|103201333|103202086|103202088|103202089,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,198.0,,,0,0,0,0,0,0
