aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation
   1673112,Literature-derived,Displacement of [3H]-Diprenorphine from recombinant full length human mu opioid receptor expressed in CHO-K1 cells assessed as residual binding level for radioligand at 10 uM incubated for 60 mins by scintillation counting analysis relative to control,"Title: VU6005806/AZN-00016130, an advanced M positive allosteric modulator (PAM) profiled as a potential preclinical development candidate._||_Abstract: This letter describes progress towards an M PAM preclinical candidate that resulted in the discovery of VU6005806/AZN-00016130. While the thieno[2,3-c]pyridazine core has been a consistent feature of key M PAMs, no work had previously been reported with respect to alternate functionality at the C3 position of the pyridazine ring. Here, we detail new chemistry and analogs that explored this region, and quickly led to VU6005806/AZN-00016130, which was profiled as a putative candidate. While, the β-amino carboxamide moiety engendered solubility limited absorption in higher species precluding advancement (or requiring extensive pharmaceutical sciences formulation), VU6005806/AZN-00016130 represents a new, high quality preclinical in vivo probe.",43,ChEMBL,CHEMBL4667528,20220318,134263768,461557059,4988,NULL,P35372,Curation Efforts|Research and Development,31113706,0,NULL,P35372,9606,NULL,,NULL
1676256,Confirmatory,Agonist activity at MOP (unknown origin) expressed in SH-SY5Y cell membranes co-expressing Gbeta1-RGFP protein assessed as induction of G protein activation incubated for 15 mins by BRET assay,"Title: Biased Agonism at Nociceptin/Orphanin FQ Receptors: A Structure Activity Study on N/OFQ(1-13)-NH._||_Abstract: Nociceptin/orphanin FQ (N/OFQ) controls different biological functions via selective stimulation of the N/OFQ peptide (NOP) receptor. The pleiotropic actions of N/OFQ may limit the development of NOP ligands as innovative drugs in different therapeutic areas. The pharmacological concept of functional selectivity (aka biased agonism) might be useful for amplifying beneficial actions and/or counteracting side effects. Thus, molecules with large bias factors toward G protein or β arrestin are required for investigating the translational value of NOP biased modulation. Herein, the biased behavior of a heterogeneous library of NOP-targeting peptide derivatives was evaluated in vitro with the aim to provide possible insights into the structural determinants that govern the selective activation of G protein versus β-arrestin. Our results demonstrate that lipidation of N/OFQ(1-13)-NH is a useful strategy for obtaining G protein biased agonists for the NOP receptor.",43,ChEMBL,CHEMBL4670672,20220318,461776|5485199|162650253|162652235|162669353,103166802|103193883|461524809|461527709|461552071,4988,NULL,P35372,Curation Efforts|Research and Development,32901477,0,NULL,P35372,9606,NULL,,NULL
1676257,Literature-derived,"Potency index, ratio of EC50 for N/OFQ(1-13)-NH2 to EC50 for test compound for agonist activity at MOP (unknown origin) expressed in SH-SY5Y cell membranes co-expressing Gbeta1-RGFP protein assessed as induction of G protein activation incubated for 15 mi","Title: Biased Agonism at Nociceptin/Orphanin FQ Receptors: A Structure Activity Study on N/OFQ(1-13)-NH._||_Abstract: Nociceptin/orphanin FQ (N/OFQ) controls different biological functions via selective stimulation of the N/OFQ peptide (NOP) receptor. The pleiotropic actions of N/OFQ may limit the development of NOP ligands as innovative drugs in different therapeutic areas. The pharmacological concept of functional selectivity (aka biased agonism) might be useful for amplifying beneficial actions and/or counteracting side effects. Thus, molecules with large bias factors toward G protein or β arrestin are required for investigating the translational value of NOP biased modulation. Herein, the biased behavior of a heterogeneous library of NOP-targeting peptide derivatives was evaluated in vitro with the aim to provide possible insights into the structural determinants that govern the selective activation of G protein versus β-arrestin. Our results demonstrate that lipidation of N/OFQ(1-13)-NH is a useful strategy for obtaining G protein biased agonists for the NOP receptor.",43,ChEMBL,CHEMBL4670673,20220318,461776|5485199|162650253|162652235|162669353,103166802|103193883|461524809|461527709|461552071,4988,NULL,P35372,Curation Efforts|Research and Development,32901477,0,NULL,P35372,9606,NULL,,NULL
1676258,Confirmatory,Agonist activity at MOP (unknown origin) expressed in SH-SY5Y cell membranes co-expressing beta-arrestin2-RGFP protein assessed as induction of beta-arrestin2 activation incubated for 15 mins by BRET assay,"Title: Biased Agonism at Nociceptin/Orphanin FQ Receptors: A Structure Activity Study on N/OFQ(1-13)-NH._||_Abstract: Nociceptin/orphanin FQ (N/OFQ) controls different biological functions via selective stimulation of the N/OFQ peptide (NOP) receptor. The pleiotropic actions of N/OFQ may limit the development of NOP ligands as innovative drugs in different therapeutic areas. The pharmacological concept of functional selectivity (aka biased agonism) might be useful for amplifying beneficial actions and/or counteracting side effects. Thus, molecules with large bias factors toward G protein or β arrestin are required for investigating the translational value of NOP biased modulation. Herein, the biased behavior of a heterogeneous library of NOP-targeting peptide derivatives was evaluated in vitro with the aim to provide possible insights into the structural determinants that govern the selective activation of G protein versus β-arrestin. Our results demonstrate that lipidation of N/OFQ(1-13)-NH is a useful strategy for obtaining G protein biased agonists for the NOP receptor.",43,ChEMBL,CHEMBL4670674,20220318,461776|5485199|162650253|162652235|162669353,103166802|103193883|461524809|461527709|461552071,4988,NULL,P35372,Curation Efforts|Research and Development,32901477,0,NULL,P35372,9606,NULL,,NULL
1676259,Literature-derived,"Potency index, ratio of EC50 for N/OFQ(1-13)-NH2 to EC50 for test compound for agonist activity at MOP (unknown origin) expressed in SH-SY5Y cell membranes co-expressing beta-arrestin2-RGFP protein assessed as induction of beta-arrestin2 activation incuba","Title: Biased Agonism at Nociceptin/Orphanin FQ Receptors: A Structure Activity Study on N/OFQ(1-13)-NH._||_Abstract: Nociceptin/orphanin FQ (N/OFQ) controls different biological functions via selective stimulation of the N/OFQ peptide (NOP) receptor. The pleiotropic actions of N/OFQ may limit the development of NOP ligands as innovative drugs in different therapeutic areas. The pharmacological concept of functional selectivity (aka biased agonism) might be useful for amplifying beneficial actions and/or counteracting side effects. Thus, molecules with large bias factors toward G protein or β arrestin are required for investigating the translational value of NOP biased modulation. Herein, the biased behavior of a heterogeneous library of NOP-targeting peptide derivatives was evaluated in vitro with the aim to provide possible insights into the structural determinants that govern the selective activation of G protein versus β-arrestin. Our results demonstrate that lipidation of N/OFQ(1-13)-NH is a useful strategy for obtaining G protein biased agonists for the NOP receptor.",43,ChEMBL,CHEMBL4670675,20220318,461776|5485199|14840413|162650253|162669353,103166802|103193883|103198004|461524809|461552071,4988,NULL,P35372,Curation Efforts|Research and Development,32901477,0,NULL,P35372,9606,NULL,,NULL
1676260,Literature-derived,"Bias factor, selectivity for agonist activity at MOP (unknown origin) expressed in SH-SY5Y cell membranes co-expressing beta-arrestin2-RGFP protein assessed as induction of beta-arrestin2 activation to agonist activity at NOP (unknown origin) expressed in","Title: Biased Agonism at Nociceptin/Orphanin FQ Receptors: A Structure Activity Study on N/OFQ(1-13)-NH._||_Abstract: Nociceptin/orphanin FQ (N/OFQ) controls different biological functions via selective stimulation of the N/OFQ peptide (NOP) receptor. The pleiotropic actions of N/OFQ may limit the development of NOP ligands as innovative drugs in different therapeutic areas. The pharmacological concept of functional selectivity (aka biased agonism) might be useful for amplifying beneficial actions and/or counteracting side effects. Thus, molecules with large bias factors toward G protein or β arrestin are required for investigating the translational value of NOP biased modulation. Herein, the biased behavior of a heterogeneous library of NOP-targeting peptide derivatives was evaluated in vitro with the aim to provide possible insights into the structural determinants that govern the selective activation of G protein versus β-arrestin. Our results demonstrate that lipidation of N/OFQ(1-13)-NH is a useful strategy for obtaining G protein biased agonists for the NOP receptor.",43,ChEMBL,CHEMBL4670676,20220318,461776|5485199|162650253|162669353,103166802|103193883|461524809|461552071,4988,NULL,P35372,Curation Efforts|Research and Development,32901477,0,NULL,P35372,9606,NULL,,NULL
1676706,Literature-derived,Displacement of [3H]DAMGO from human recombinant mu receptor at 10 uM after 120 mins by scintillation counting analysis relative to control,"Title: Discovery of VU6027459: A First-in-Class Selective and CNS Penetrant mGlu Positive Allosteric Modulator Tool Compound._||_Abstract: Herein, we report the discovery of the first selective and CNS penetrant mGlu PAM (VU6027459) derived from a 'molecular switch' within a selective mGlu NAM chemotype. VU6027459 displayed CNS penetration in both mice (K = 2.74) and rats (K= 4.78), it was orally bioavailable in rats (%F = 69.5), and undesired activity at DAT was ablated.",43,ChEMBL,CHEMBL4671122,20220318,162654767|162660757,461531283|461539738,4988,NULL,P35372,Curation Efforts|Research and Development,32944146,0,NULL,P35372,9606,NULL,,NULL
1677676,Literature-derived,Agonist activity at human MOR expressed in CHOK1 cells assessed as inhibition of forskolin-stimulated cAMP accumulation by FRET assay relative to DAMGO,"Title: Discovery of DS34942424: An orally potent analgesic without mu opioid receptor agonist activity._||_Abstract: We identified (5'S)-10'-fluoro-6'-methyl-5',6'-dihydro-3'H-spiro[cyclopropane-1,4'-[2,6]diaza[2,5]methano[2,6]benzodiazonin]-7'(1'H)-one, 22b (DS34942424) with a unique and original bicyclic skeleton. 22b showed an orally potent analgesic in the acetic acid-induced writhing test and formalin test in ddY mice without sedation. Moreover, 22b did not exhibit mu opioid receptor agonist activity.",43,ChEMBL,CHEMBL4672092,20220318,162641730,461531226,4988,NULL,P35372,Curation Efforts|Research and Development,33065431,0,NULL,P35372,9606,NULL,,NULL
1677677,Confirmatory,Displacement of [3H]diprenorphine from human MOR incubated for 1 hr,"Title: Discovery of DS34942424: An orally potent analgesic without mu opioid receptor agonist activity._||_Abstract: We identified (5'S)-10'-fluoro-6'-methyl-5',6'-dihydro-3'H-spiro[cyclopropane-1,4'-[2,6]diaza[2,5]methano[2,6]benzodiazonin]-7'(1'H)-one, 22b (DS34942424) with a unique and original bicyclic skeleton. 22b showed an orally potent analgesic in the acetic acid-induced writhing test and formalin test in ddY mice without sedation. Moreover, 22b did not exhibit mu opioid receptor agonist activity.",43,ChEMBL,CHEMBL4672093,20220318,162641730,461531226,4988,NULL,P35372,Curation Efforts|Research and Development,33065431,0,NULL,P35372,9606,NULL,,NULL
1677678,Confirmatory,Agonist activity at human MOR expressed in CHOK1 cells assessed as inhibition of forskolin-stimulated cAMP accumulation by FRET assay,"Title: Discovery of DS34942424: An orally potent analgesic without mu opioid receptor agonist activity._||_Abstract: We identified (5'S)-10'-fluoro-6'-methyl-5',6'-dihydro-3'H-spiro[cyclopropane-1,4'-[2,6]diaza[2,5]methano[2,6]benzodiazonin]-7'(1'H)-one, 22b (DS34942424) with a unique and original bicyclic skeleton. 22b showed an orally potent analgesic in the acetic acid-induced writhing test and formalin test in ddY mice without sedation. Moreover, 22b did not exhibit mu opioid receptor agonist activity.",43,ChEMBL,CHEMBL4672094,20220318,162641730,461531226,4988,NULL,P35372,Curation Efforts|Research and Development,33065431,0,NULL,P35372,9606,NULL,,NULL
