protacxn,geneid,ligand,ligandid,cid,primarytarget,type,action,units,affinity,pmids,targetid,targetname,targetspecies,genesymbol,cmpdname,dois
   P35372,4988,2F-MT-45,10725,132990975,No,Agonist,Agonist,pEC50,6.7,32246840,319,μ receptor,Human,OPRM1,1-Cyclohexyl-4-(1-(2-fluorophenyl)-2-phenylethyl)piperazine,10.1111/bph.15064
P35372,4988,3F-MT-45,10726,132990929,No,Agonist,Agonist,pEC50,6.21,32246840,319,μ receptor,Human,OPRM1,1-Cyclohexyl-4-[1-(3-fluorophenyl)-2-phenylethyl]piperazine,10.1111/bph.15064
P35372,4988,4F-MT-45,10727,132990963,No,Agonist,Agonist,pEC50,6.77,32246840,319,μ receptor,Human,OPRM1,1-Cyclohexyl-4-[1-(4-fluorophenyl)-2-phenylethyl]piperazine,10.1111/bph.15064
P35372,4988,ADL5747,9003,11200189,No,Agonist,Agonist,pKi,7.74,19694468,319,μ receptor,Human,OPRM1,ADL-5747 free base,10.1021/jm900773n
P35372,4988,ADL5859,9004,11417954,No,Agonist,Agonist,pKi,7.49,18788723,319,μ receptor,Human,OPRM1,"Benzamide, N,N-diethyl-4-(5-hydroxyspiro(2H-1-benzopyran-2,4'-piperidin)-4-yl)-",10.1021/jm8008986
P35372,4988,AR-M1000390,9005,9841259,No,Agonist,Agonist,pIC50,5.42,NULL,319,μ receptor,Human,OPRM1,"N,N-diethyl-4-(phenyl(piperidin-4-ylidene)methyl)benzamide",NULL
P35372,4988,BW373U86,9002,119029,No,Agonist,Agonist,pKi,6.59,18788723,319,μ receptor,Human,OPRM1,"4-[(R)-[(2S,5R)-2,5-dimethyl-4-prop-2-enylpiperazin-1-yl]-(3-hydroxyphenyl)methyl]-N,N-diethylbenzamide",10.1021/jm8008986
P35372,4988,cebranopadol,8866,11848225,No,Agonist,Agonist,pKi,9.15,24713140,319,μ receptor,Human,OPRM1,Cebranopadol,10.1124/jpet.114.213694
P35372,4988,compound 3 [PMID: 23134120],9190,71452040,No,Agonist,Agonist,pKi,6.08,23134120,319,μ receptor,Human,OPRM1,3-(2-((Cyclopropylmethyl)(phenethyl)amino)ethyl)phenol,10.1021/jm301258w
P35372,4988,eluxadoline,7691,11250029,No,Agonist,Agonist,pKi,8.77,22695132,319,μ receptor,Human,OPRM1,Eluxadoline,10.1016/j.bmcl.2012.05.042
