aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation
   45420,Confirmatory,Displacement of [3H]-spiperone from CHO-K1 cell membranes expressing human dopamine 3 receptors,"Title: Evaluation of the effects of the enantiomers of reduced haloperidol, azaperol, and related 4-amino-1-arylbutanols on dopamine and sigma receptors._||_Abstract: The enantiomers of reduced haloperidol (3a), azaperol (3b), and the related compound BMY-14802 (3c) were prepared in high optical purity. The affinity of these compounds for dopamine D2 and D3 receptors, and sigma S1 and S2 sites was determined in vitro. Both enantiomers of 3a display greatly decreased affinity for D2 and D3 receptors compared to haloperidol, although they still possess affinities in the 100-200-nM range. Both enantiomers of 3a possess potent and equal affinity for S1 sites (Ki: 1-2 nM), only slightly weaker than haloperidol (Ki: 0.33 nM). At S2 sites, (R)-(+)-3a displays similar affinity to haloperidol (Ki: 31 and 26 nM, respectively), while (S)-(-)-3a is slight more potent (Ki: 8.2 nM). The stereoselectivity profile of the enantiomers of 3b at D2 and D3 receptors is quite similar to that of 3a, (S)-(-)-3b being about 4 times more potent than its enantiomer at both receptors. (R)-(+)-3b binds preferentially to sigma S1 over S2 sites, while (S)-(-)-3b displays the opposite selectivity profile. Both enantiomers of 3c possess very weak affinity for D2 and D3 receptors. In a manner similar to the enantiomers of 3b, the affinity of (R)-(+)-3c is greater for S1 than S2 sites, while (S)-(-)-3c displays the opposite selectivity profile. Following parenteral administration of both enantiomers of 3a, dopamine synthesis and turnover in rat striatum, cortex, and mesolimbic areas were increased, in a manner similar to the effects produced by haloperidol itself. Additional studies will be required to assess with certainty whether the effects were due to the compounds themselves or simply were a consequence of the in vivo oxidation to haloperidol.",43,ChEMBL,CHEMBL651365,20181014,3559|15443|6604868|10020651|16048564|24867245|44350942|44350991,103167216|103359590|103359652|103359654|103359671|103359710|103359798|103359799,1814,NULL,P35462,Curation Efforts|Research and Development,7902870,0,NULL,P35462,9606,198,,NULL
55450,Confirmatory,Percent inhibition towards dopamine D3 receptor,"Title: 1,2,5-Thiadiazole derivatives are potent and selective ligands at human 5-HT1A receptors._||_Abstract: Amino acid derivatives of 1,2,5-thiadiazol-3-yl-piperazine related to (+)-WAY-100135 and WAY-100635 are potent 5-HT1A receptor agonists and antagonists, which have selective affinity for 5-HT1A receptors versus alpha1 and dopamine (D2, D3, and D4) receptors.",43,ChEMBL,CHEMBL664744,20180930,9868793,103170856,1814,NULL,P35462,Curation Efforts|Research and Development,11327592,0,NULL,P35462,NULL,NULL,,NULL
61624,Confirmatory,Ability to displace [3H]spiperone from the cloned human D3 dopamine receptor stably expressed in Chinese hamster ovary (CHO) cells was determined.,"Title: 2,2-Dicyanovinyl as a nonaromatic aryl bioisostere: synthesis, binding experiments and SAR studies of highly selective dopamine D4 receptor ligands._||_Abstract: The phenylpiperazinylmethyl substituted pyrrolylmethylenemalononitriles of type 3 and 4 were synthesized and evaluated as strong and selective dopamine D4 receptor ligands.",43,ChEMBL,CHEMBL669159,20180909,10425969|15467369|15467370|15467371|15467372|15467373|135398737,103165765|103249005|103249006|103249047|103249064|103249125|103249603,1814,NULL,P35462,Curation Efforts|Research and Development,10450964,0,NULL,P35462,NULL,197,,NULL
61626,Confirmatory,Ability to displace [3H]-spiperone from cloned human dopamine D3 receptor stably expressed in CHO cells,Title: Synthesis and sar of 2- and 3-substituted 7-azaindoles as potential dopamine D4 ligands._||_Abstract: 7-azaindole compounds bearing a cyclic amine moiety linked by a one or two carbon chain attached at the 2- or 3-position were synthesised and evaluated as potential dopamine D4 ligands. Highest affinity and selectivity for the D4 receptor resided in the 3-aminomethyl-7-azaindole series.,43,ChEMBL,CHEMBL669161,20180909,5311200|9905249|10245409|10335148|21462964|21462980|44370009|44370032|44370047|44370058|71458040,103165750|103201483|103403466|103403480|103403518|103403548|103403590|103403623|103403634|163326319|163329705,1814,NULL,P35462,Curation Efforts|Research and Development,10098669,0,NULL,P35462,9606,197,,NULL
61628,Confirmatory,Binding affinity towards human cloned dopamine (hD3) receptor expressed in CHO cells using [3H]spiperone as radioligand,Title: New generation dopaminergic agents. 2. Discovery of 3-OH-phenoxyethylamine and 3-OH-N1-phenylpiperazine dopaminergic templates._||_Abstract: Described in this report is a systematic study which led to the identification of two new dopamine D2 partial agonists (5 and 17). Phenols 5 and 17 represent prototypes of two new classes of D2 partial agonists as well as templates for the future design of novel dopaminergic agents.,43,ChEMBL,CHEMBL669163,20180909,511484|8529065|8690650|10015867|10378389|10612157|11776546|15034333|20256387|44332565|44332566|44332581|44332613|44332646|44332686|44332701,103251600|103251646|103252486|103300035|103318633|103318634|103318671|103318672|103318777|103318778|103318842|103318843|103318880|103318995|103318996|103319034,1814,NULL,P35462,Curation Efforts|Research and Development,9871673,0,NULL,P35462,NULL,197,,NULL
61630,Confirmatory,Binding affinity towards human cloned Dopamine D3 receptor in CHO cells by [3H]spiperone displacement.,Binding affinity towards human cloned Dopamine D3 receptor in CHO cells by [3H]spiperone displacement.,43,ChEMBL,CHEMBL666892,20180908,9961911|10009952|10395316|15291583|15291585|15291586|15291587|19938402|19938405|19938408|44319269|44319362|44319418|44319482|44319568|44319569|44319612,103290459|103290460|103290461|103290649|103290774|103290813|103290958|103290959|103291043|103291052|103291072|103291117|103291118|103291119|103291210|103291211|103291257,1814,NULL,P35462,Curation Efforts|Research and Development,NULL,0,NULL,P35462,NULL,197,,NULL
61632,Confirmatory,Displacement of [3H]spiperone from human dopamine receptor subtype hD3 expressed in CHO cells,Displacement of [3H]spiperone from human dopamine receptor subtype hD3 expressed in CHO cells,43,ChEMBL,CHEMBL666966,20180908,749986|10359942|11725909|22100932|22100933|22100940|22100943|22100957|22100962|22100964|22100965|22100968|22100970,103267062|103267091|103267092|103267382|103267444|103267455|103267823|103267824|103267872|103267873|103267890|103267899|103267918,1814,NULL,P35462,Curation Efforts|Research and Development,NULL,0,NULL,P35462,9606,197,,NULL
61634,Confirmatory,Binding affinity at cloned human D3 dopamine receptor in CHO cells using [3H]-YM 09151 as radioligand,Binding affinity at cloned human D3 dopamine receptor in CHO cells using [3H]-YM 09151 as radioligand,43,ChEMBL,CHEMBL666968,20180908,135887930|135887932|135887933|135887935|135887936|135887937|135887938|135887939|136072266,103279759|103280417|103280450|103280452|103280487|103280979|103281048|103281050|103677593,1814,NULL,P35462,Curation Efforts|Research and Development,NULL,0,NULL,P35462,9606,197,,NULL
61636,Confirmatory,Ability to displace [125I]iodosulpiride from human dopamine D3 (hD3) receptor transfected into CHO cells.,"Title: Novel benzopyrano[3,4-c]pyrrole derivatives as potent and selective dopamine D3 receptor antagonist._||_Abstract: A new series of benzopyrano[3,4-c]pyrrole derivatives were synthesized and evaluated for their interaction with dopamine D3 versus D2 receptors. Amongst these compounds, 4x (S 33084) was found to be a potent and selective dopamine D3 receptor antagonist.",43,ChEMBL,CHEMBL666970,20180909,9820327|9841203|9841864|9868452|17867623|17867626|18702006|18702007|18702008|18715674|18715682|19694408|19694436|19694443|19694446|19694453|22376257|22622605|22876327|44305039|44305123|44305138|44305156|44305196|44305348|44305390|71459901,103255489|103255516|103255518|103255519|103255637|103255723|103255725|103255726|103255727|103255797|103255798|103255830|103255832|103255857|103255901|103255929|103255932|103255933|103255977|103256020|103256355|103256390|103256422|103256423|103256480|103256482|163333226,1814,NULL,P35462,Curation Efforts|Research and Development,10450981,0,NULL,P35462,NULL,197,,NULL
61640,Literature-derived,Binding affinity was measured at cloned mammalian dopamine D3 receptor expressed in CHO-K1 cells (using [3H]- spiperone); NT means not tested,Binding affinity was measured at cloned mammalian dopamine D3 receptor expressed in CHO-K1 cells (using [3H]- spiperone); NT means not tested,43,ChEMBL,CHEMBL666974,20180908,44374650,103412659,1814,NULL,P35462,Curation Efforts|Research and Development,NULL,0,NULL,P35462,NULL,198,,NULL
