PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0,Standard_Type_1,Standard_Value_1,Standard_Units_1,Standard_Type_3,Standard_Value_3,Standard_Units_3,Standard_Type_13,Standard_Value_13,Standard_Units_13
5284596,Ki,1.148,nM,,,,,,,Ki,1.259,nM
443408,Ki,0.123,nM,,,,,,,Ki,0.1995,nM
5485199,Ki,19.5,nM,,,,,,,Ki,1.585,nM
5462471,Ki,87.1,nM,Ki,2187.76,nM,,,,Ki,1.259,nM
9576413,Ki,1.445,nM,,,,,,,Ki,3.162,nM
5360515,Ki,0.2754,nM,,,,,,,Ki,0.1995,nM
9848990,,,,Ki,1.585,nM,,,,,,
127042562,,,,Ki,7.413,nM,,,,,,
127042865,,,,Ki,194.98,nM,,,,,,
127042866,,,,Ki,2.188,nM,,,,,,
127042867,,,,Ki,107.15,nM,,,,,,
127042873,,,,Ki,263.03,nM,,,,,,
127042874,,,,Ki,2041.74,nM,,,,,,
127037941,,,,,,,Kd,13.49,nM,,,
127038943,,,,,,,Kd,48.98,nM,,,
127041896,,,,,,,Kd,9.772,nM,,,
127042159,,,,,,,Kd,4.266,nM,,,
