PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0,Standard_Type_1,Standard_Value_1,Standard_Units_1,Standard_Type_2,Standard_Value_2,Standard_Units_2,Standard_Type_3,Standard_Value_3,Standard_Units_3,Standard_Type_4,Standard_Value_4,Standard_Units_4
5288826,Ki,0.88,nM,,,,,,,,,,,,
11392313,Ki,1.3,nM,,,,,,,,,,,,
15934554,Ki,7.9,nM,,,,,,,,,,,,
9804450,Ki,0.23,nM,EC50,1.6,nM,Emax,50,%,IC50,20,nM,Imax,50,%
5359966,Ki,0.062,nM,EC50,0.8,nM,Emax,40,%,IC50,1.7,nM,Imax,50,%
11255361,Ki,3.7,nM,,,,,,,,,,,,
5284569,Ki,9.5,nM,,,,,,,,,,,,
44627901,Ki,1.7,nM,,,,,,,,,,,,
44627787,Ki,0.31,nM,EC50,6.8,nM,Emax,30,%,IC50,10,nM,Imax,67,%
44627790,Ki,0.26,nM,,,,,,,,,,,,
5359272,Ki,0.21,nM,,,,,,,,,,,,
57412772,Ki,2.7,nM,,,,,,,,,,,,
57413036,Ki,0.16,nM,,,,Emax,27,%,IC50,3.5,nM,Imax,79,%
57412339,Ki,26,nM,,,,,,,,,,,,
57412341,Ki,17,nM,,,,,,,,,,,,
57412851,Ki,1.2,nM,,,,,,,,,,,,
57412853,Ki,0.17,nM,,,,Emax,18,%,IC50,0.21,nM,Imax,72,%
57412946,Ki,1.9,nM,EC50,8.8,nM,Emax,44,%,IC50,160,nM,Imax,47,%
57413039,Ki,14,nM,,,,,,,,,,,,
57413040,Ki,13,nM,,,,,,,,,,,,
57412343,Ki,3.2,nM,,,,,,,,,,,,
57412593,Ki,8.5,nM,EC50,210,nM,Emax,81,%,IC50,,,Imax,,
57412591,Ki,13,nM,,,,,,,,,,,,
57412942,Ki,0.43,nM,EC50,1.1,nM,Emax,70,%,IC50,6.8,nM,Imax,49,%
57412771,Ki,150,nM,,,,,,,,,,,,
57412595,Ki,7,nM,EC50,550,nM,Emax,110,%,IC50,,,Imax,,
57412849,Ki,1.7,nM,,,,,,,,,,,,
57412852,Ki,0.51,nM,,,,Emax,23,%,IC50,2,nM,Imax,77,%
57412943,Ki,1.7,nM,EC50,38,nM,Emax,49,%,IC50,810,nM,Imax,32,%
57413037,Ki,0.28,nM,,,,Emax,19,%,IC50,7.6,nM,Imax,80,%
57412337,Ki,9.5,nM,,,,,,,,,,,,
57412773,Ki,0.69,nM,EC50,3.8,nM,Emax,39,%,IC50,80,nM,Imax,66,%
57412850,Ki,0.34,nM,EC50,3.6,nM,Emax,39,%,IC50,94,nM,Imax,60,%
57412944,Ki,0.32,nM,,,,Emax,30,%,IC50,4.8,nM,Imax,74,%
57412945,Ki,0.35,nM,EC50,3.6,nM,Emax,38,%,IC50,75,nM,Imax,56,%
57413038,Ki,0.42,nM,EC50,6.5,nM,Emax,85,%,IC50,,,Imax,,
57412597,Ki,60,nM,,,,,,,,,,,,
57412848,Ki,0.86,nM,EC50,7.8,nM,Emax,34,%,IC50,150,nM,Imax,55,%
57412421,Ki,45,nM,,,,,,,,,,,,
57412599,Ki,44,nM,,,,,,,,,,,,
5462471,,,,EC50,55,nM,Emax,130,%,IC50,,,Imax,,
