PUBCHEM_CID,Standard_Type_0,Standard_Value_0,Standard_Units_0,Standard_Type_1,Standard_Value_1,Standard_Units_1,Standard_Type_2,Standard_Value_2,Standard_Units_2,Standard_Type_3,Standard_Value_3,Standard_Units_3,Standard_Type_4,Standard_Value_4,Standard_Units_4
5497186,Ki,6.3,nM,,,,,,,Ke,4.26,nM,,,
5480230,Ki,21,nM,,,,,,,Ke,18.9,nM,,,
5360515,Ki,0.2,nM,,,,,,,Ke,0.59,nM,,,
102270008,Ki,1.23,nM,EC50,80,nM,Activity,40,%,,,,,,
102270003,Ki,0.29,nM,EC50,4.97,nM,Activity,52,%,,,,,,
102270007,Ki,2.37,nM,EC50,163,nM,Activity,36,%,,,,,,
102270005,Ki,12.8,nM,EC50,709,nM,Activity,37,%,,,,,,
102270006,Ki,2.03,nM,,,,,,,Ke,32.9,nM,,,
102270004,Ki,3,nM,EC50,94.9,nM,Activity,36,%,,,,,,
102269998,Ki,0.56,nM,,,,,,,Ke,0.5,nM,,,
102269996,Ki,0.42,nM,,,,,,,Ke,0.6,nM,,,
12041056,Ki,0.43,nM,,,,,,,Ke,0.35,nM,,,
12041055,Ki,1.54,nM,,,,,,,Ke,1.62,nM,,,
118705898,Ki,0.18,nM,,,,,,,Ke,0.2,nM,Smax,-1,%
118705901,Ki,0.11,nM,,,,,,,Ke,0.27,nM,Smax,-1,%
118722557,Ki,13.2,nM,EC50,70.5,nM,Activity,86,%,,,,,,
12041054,Ki,8.65,nM,,,,,,,Ke,6.61,nM,,,
118705899,,,,,,,,,,,,,Smax,1,%
118705900,,,,,,,,,,,,,Smax,-2,%
118705902,,,,,,,,,,,,,Smax,-1,%
118705903,,,,,,,,,,,,,Smax,-1,%
